Priority,Company Name,Type,Zone,Address,Est. Employees,Decision Maker,Title,Phone,Email,Recommended Approach,Key Talking Points,Supply Needs,Urgency
14,Aerolia/Stelia Aerospace,Aerospace Supplier,Montreal,"18105 rue J-A Bombardier, Mirabel QC J7J 0E7",100+,,,"(450) 433-1238",sales.sna@stelia-northamerica.com,Cold email to sales. Formal vendor qualification required. Airbus group subsidiary.,Aerostructures manufacturing. Global 7500 fuselage assembly.,"Cutting tools, rivets, fasteners, abrasives, sealants",Medium
15,Sonaca Montreal,Aerospace Supplier,Montreal,"13075 rue Brault, Mirabel QC J7J 0W2",310,,,"(450) 434-6114",sales@sonacamontreal.com,Cold email to sales. Belgian parent company. Aerospace structures.,Aluminum wing and empennage aerostructures.,"Cutting tools, rivets, fasteners, sealants, abrasives",Medium
16,MDA Aerospace,Aerospace Supplier,Montreal,"21025 Trans-Canada Hwy, Ste-Anne-de-Bellevue QC H9X 3R2",100+,,,"(514) 457-2150",satellitesystems@mda.space,Cold email. Space technology. Specialty manufacturing environment.,Satellite systems. Clean room manufacturing.,"Specialty fasteners, hand tools, measuring instruments, safety/PPE",Low
17,Safran Landing Systems,Aerospace Supplier,Montreal,"13000 rue du Parc, Mirabel QC",200+,,,"(450) 434-3400",americascsc.sls@safrangroup.com,Cold email to Americas customer support. Formal vendor qualification process.,Landing gear systems. High precision machining. Regulated environment.,"Cutting tools, inserts, metalworking fluids, measuring tools",Medium
18,L3Harris (MAS) Montreal,Aerospace Supplier,Montreal,"10000 Helen-Bristol St, Mirabel QC J7N 1H3",200+,,,"(450) 476-4000",Info.Marketing@L3Harris.com,Cold email. Defense/aerospace. Security clearance may be required.,Military/aerospace/security systems. Electronic and mechanical assembly.,"Electronic assembly supplies, hand tools, safety/PPE, fasteners",Low
19,Mecachrome Canada,Aerospace Supplier,Montreal,"11100 rue Julien-Audette, Mirabel QC",100+,,,"(450) 476-0137",,Phone call. No public email. French parent company. Very high precision.,Engine parts machining. Titanium and nickel alloys.,"Premium cutting tools, inserts, coolants, measuring instruments",Medium
20,Precision Castparts (PCC Dorval),Aerospace Supplier,West Island,"123 rue Avro, Dorval QC H9P 2Y9",100+,,,"(514) 421-0344",,Phone call. No public email. Corporate approach (Berkshire Hathaway). Formal vendor process.,Aerospace casting and forging. High temperature alloys.,"Abrasives, cutting tools, grinding wheels, safety/PPE",Medium
21,ThyssenKrupp Aerospace Canada,Aerospace Supplier,West Island,"19700 av Clark Graham, Baie-d'Urfe QC H9X 3R8",50,,,"+1 514 782 9500",aerospace.canada@thyssenkrupp-materials.com,Cold email. Material supply chain for Bombardier. May need processing consumables.,125K sq ft. Aerospace material processing and storage.,"Saw blades, cutting tools, abrasives, packaging materials",Medium
22,Richelieu Hardware,General Manufacturing,Montreal,"7900 Henri Bourassa Blvd W, Saint-Laurent QC H4S 1V4",3000+,Joseph Pastor,Buyer,"(800) 361-6000",info@richelieu.com,Cold email to buyer Joseph Pastor. Massive operation but may have corporate contracts. Look for specialty gaps.,3000+ employees. Major distributor AND manufacturer.,"Fasteners, cutting tools, abrasives, packaging materials, safety/PPE",Medium
23,Spectra Premium Industries,General Manufacturing,South Shore,"1421 rue Ampere, Boucherville QC J4B 5Z5",200+,Josh Gordon,President/CEO,"(450) 641-3090",info@spectrapremium.com,Cold email then in-person visit. Automotive parts - high volume metal stamping.,Metal stamping and assembly. High volume = high consumable spend.,"Stamping dies, cutting tools, abrasives, fasteners, welding consumables",High
24,Groupe Intersand,General Manufacturing,South Shore,"90 Bd Marie-Victorin, Boucherville QC J4B 1V6",100+,,,"(450) 449-7070",cv@intersand.com,Cold email (cv@ may be HR - request redirect to purchasing). Manufacturing plant needs.,Cat litter/animal hygiene manufacturing. Family business.,"MRO supplies, safety/PPE, maintenance tools",Medium
25,Emballages Mitchel-Lincoln,General Manufacturing,Montreal,"3737 Thimens Blvd, Saint-Laurent QC H4R 1V1",219,,,"(514) 332-3480",mlinfo@mitchellincoln.ca,Cold email then in-person. Major corrugated packaging. Machine-intensive production.,Quebec's most productive corrugated packaging manufacturer. 60 years.,"MRO supplies, blades, cutting tools, maintenance supplies, safety/PPE",Medium
26,Wajax (Pointe-aux-Trembles),General Manufacturing,Montreal,"12900 Bd Metropolitain E, Pointe-aux-Trembles QC H1A 4A7",50+,,,"(514) 351-8880",info@wajax.com,Cold email. Industrial products distributor - could be partner or competitor. Assess relationship.,National industrial products/parts/service company.,"Cross-sell opportunities, specialty items",Low
27,Matrox Electronic Systems,General Manufacturing,West Island,"1055 Bd Saint-Regis, Dorval QC H9P 2T4",591-730,,,"(514) 822-6000",imaging.info@matrox.com,Cold email. Electronics manufacturer - focus on MRO/safety/facility maintenance.,700 employees. Electronics manufacturing. Maintenance-heavy.,"MRO supplies, safety/PPE, hand tools, facility maintenance",Medium
28,Premiere Moisson (Plant),General Manufacturing,West Island,"19301 av Clark-Graham, Baie-d'Urfe QC H9X 3P5",100+,,,"(514) 787-1252",mdigenova@pmoisson.com,Email M. DiGenova directly then in-person. Food manufacturing plant needs maintenance/safety.,100K sq ft automated bakery. Food-grade safety requirements.,"Safety/PPE (food-grade), stainless fasteners, maintenance tools, lubricants",Medium
29,Galderma Production Canada,General Manufacturing,West Island,"19400 aut Transcanadienne, Baie-d'Urfe QC H9X 3S4",100+,,,"(514) 457-3366",Customer.SERVICE@Galderma.com,Cold email. Pharma manufacturing - strict vendor qualification but high-value once approved.,Main North American pharma plant. Cetaphil production. GMP environment.,"Stainless fasteners, safety/PPE, maintenance tools, calibrated measuring",Medium
30,Cascades (Montreal ops),General Manufacturing,Montreal,"Montreal QC H1V 3J4",200+,,,"(514) 251-3800",suppliers@cascades.com,Email suppliers@cascades.com - dedicated supplier contact. Major packaging operation.,Packaging and tissue products. Multiple local facilities. Maintenance-heavy.,"MRO supplies, safety/PPE, cutting tools, maintenance supplies",Medium
31,Saputo (Montreal),General Manufacturing,Montreal,"1000 De La Gauchetiere W Suite 2900, Montreal QC H3B 4W5",500+,,,"(514) 328-6662",info@saputo.com,Cold email then phone follow-up. Major dairy processor with multiple facilities.,500+ employees locally. Dairy processing. Heavy maintenance.,"MRO supplies, safety/PPE, stainless fasteners, maintenance tools",Medium
32,Groupe Deschenes,General Manufacturing,Montreal,"3901 rue Jarry Est, Montreal QC",200+,,,"(514) 374-3110",info@groupedeschenes.com,Cold email. Distribution and manufacturing. Plumbing/HVAC/PVF.,Large distribution and manufacturing operation. Multiple divisions.,"MRO supplies, cutting tools, safety/PPE, maintenance supplies",Medium
33,Teknion (Montreal),General Manufacturing,Montreal,"1190 Av des Canadiens-de-Montreal Suite 1620, Montreal QC H3B 0M7",100+,,,"(514) 875-2630",info.can@teknion.com,Cold email. Office furniture systems. Metal fabrication intensive.,Largest furniture manufacturer in Canada. Metal fabrication.,"Cutting tools, fasteners, abrasives, finishing supplies",Medium
34,Nova Bus,General Manufacturing,Montreal,"1000 Bd Industriel, Saint-Eustache QC",800+,,,"(438) 350-0454",sales@novabus.com,Cold email to sales. Volvo subsidiary. Transit bus manufacturer. Heavy metal fabrication.,800+ employees. Heavy fabrication and assembly.,"Welding consumables, cutting tools, abrasives, fasteners, safety/PPE",Medium
35,Agropur (Montreal),General Manufacturing,Montreal,"4600 rue Armand-Frappier, Saint-Hubert QC J3Z 1G5",200+,,,,info@agropur.com,Cold email. Dairy cooperative. Heavy processing equipment maintenance.,Dairy cooperative. Multiple local facilities.,"Stainless fasteners, safety/PPE, maintenance tools, MRO supplies",Medium
36,Marmen,Metal Fabrication,Other,"Trois-Rivieres QC",500+,,,"(819) 379-0443",info@marmeninc.com,Cold email. Outside core territory but massive operation. High-value if serviceable.,Est. 1972. High precision machining/fabrication. 500+ employees.,"Cutting tools, abrasives, welding consumables, metalworking fluids",Low
37,Prevost Car,General Manufacturing,Other,"Sainte-Claire QC",500+,,,,prevostcar@volvo.com,Cold email. Volvo subsidiary. Outside territory but very large metal consumer.,Bus/motor coach manufacturer. Heavy fabrication and assembly.,"Welding consumables, cutting tools, abrasives, fasteners",Low
38,Soucy Group,General Manufacturing,Other,"5450 rue Saint-Roch S, Drummondville QC J2B 6W3",500+,,,"(819) 477-2434",sales-ventes.sbei@soucy-group.com,Cold email. Outside territory but major manufacturer.,Rubber and metal track systems for defense and recreation.,"Cutting tools, abrasives, fasteners, metalworking fluids",Low
39,Groupe Lacasse,General Manufacturing,Other,"Saint-Pie QC",200+,,,,CustomerService@GroupeLacasse.com,Cold email. Outside territory. Office furniture manufacturing.,Office furniture. Metal and wood fabrication.,"Cutting tools, abrasives, fasteners, finishing supplies",Low
40,Lassonde Industries,General Manufacturing,Other,"755 rue Principale, Rougemont QC J0L 1M0",200+,,,"(450) 469-4926",info@lassonde.com,Cold email. Juice/food processing. Maintenance-intensive bottling lines.,Automated bottling and packaging lines.,"Stainless fasteners, safety/PPE, maintenance tools, MRO supplies",Medium
41,Olymel,General Manufacturing,Other,"1580 rue Eiffel, Boucherville QC J4B 5Y1",200+,,,"(514) 858-9000",info@olymel.com,Cold email. Meat processing. Heavy maintenance and sanitation requirements.,Meat processing. Stainless steel environment.,"Stainless fasteners, safety/PPE (food-grade), maintenance tools, MRO",Medium
42,Produits Neptune,General Manufacturing,Other,"Sainte-Hyacinthe QC",200+,,,,info@produitsneptune.com,Cold email. Bath products manufacturer. Metal forming and finishing.,Large manufacturer. Metal and composite fabrication.,"Cutting tools, abrasives, polishing compounds, fasteners, safety/PPE",Medium
