timestamp,eval_case,run,model,model_version,input_type,prompt_or_skill_version,schema_version,validation_pass,macro_f1,human_avg,severe_hallucinations,unresolved_count,correction_prompts,notes
2026-08-12,05-orbital-settings,11,claude,fable-5,xaml+csharp+design-system,SKILL.md v0.2 (blind),0.1.0,true,0.3100,,0,5,0,"Blind-v2 run4. 81n/128e. Partial unresolved credit vs gold"
2026-08-12,05-orbital-settings,12,claude,fable-5,xaml+csharp+design-system,SKILL.md v0.2 (blind),0.1.0,true,0.2530,,0,4,0,"Blind-v2 run5. 68n/138e. v0.1->v0.2 same-scorer deltas: vs-gold macro 0.114->0.256, node-id F1 0.154->0.484, singletons 72->30, style-level states eliminated"
2026-08-12,05-orbital-settings,13,claude,fable-5,xaml+csharp+design-system,SKILL.md v0.4 (blind),0.1.0,true,0.3118,,0,3,0,"Blind-v4 run1 vs gold v1.3 scorer 0.3.0. 60n/95e, 46 mapped. uno triple F1 0.641, value recall 0.881"
2026-08-12,05-orbital-settings,14,claude,fable-5,xaml+csharp+design-system,SKILL.md v0.4 (blind),0.1.0,true,0.3640,,0,3,0,"Blind-v4 run2. 57n/98e. uno 0.653, value recall 0.857"
2026-08-12,05-orbital-settings,15,claude,fable-5,xaml+csharp+design-system,SKILL.md v0.4 (blind),0.1.0,true,0.3060,,0,4,0,"Blind-v4 run3. 61n/94e. uno 0.641, value recall 0.881"
2026-08-12,05-orbital-settings,16,claude,fable-5,xaml+csharp+design-system,SKILL.md v0.4 (blind),0.1.0,true,0.3124,,0,3,0,"Blind-v4 run4. 60n/97e. uno 0.647, value recall 0.881"
2026-08-12,05-orbital-settings,17,claude,fable-5,xaml+csharp+design-system,SKILL.md v0.4 (blind),0.1.0,true,0.3150,,0,3,0,"Blind-v4 run5. 60n/95e. uno 0.660, value recall 0.905; dropped clear-recents trigger (4/5 carried both). Pairwise: macro 0.758, node-id 0.929, singletons 9. Residual vs gold = consensus token-wiring altitude (calibration decision pending)"
2026-08-12,06-flux-profile,1,claude,fable-5,xaml+csharp-mvux+design-system,SKILL.md v0.4 (blind),0.1.0,true,0.4213,,0,8,0,"Eval-06 first contact. 54n/68e, uno F1 0.729. All four honesty traps held"
2026-08-12,06-flux-profile,2,claude,fable-5,xaml+csharp-mvux+design-system,SKILL.md v0.4 (blind),0.1.0,true,0.3742,,0,6,0,"55n/67e, uno 0.707"
2026-08-12,06-flux-profile,3,claude,fable-5,xaml+csharp-mvux+design-system,SKILL.md v0.4 (blind),0.1.0,true,0.4738,,0,9,0,"52n/80e, uno 0.814"
2026-08-12,06-flux-profile,4,claude,fable-5,xaml+csharp-mvux+design-system,SKILL.md v0.4 (blind),0.1.0,true,0.4501,,0,7,0,"55n/79e, uno 0.814"
2026-08-12,06-flux-profile,5,claude,fable-5,xaml+csharp-mvux+design-system,SKILL.md v0.4 (blind),0.1.0,true,0.4252,,0,7,0,"48n/69e, uno 0.886. Suite: mean vs-gold macro 0.4289 (beats home-turf 0.34); drift = two missing vocabulary entries (card/glass-panel, route row) incl. one gold naming defect"
2026-08-12,07-caffe-main,1,claude,fable-5,xaml+csharp-mvvm+design-system,SKILL.md v0.4.2 (blind),0.1.0,true,0.3702,,0,5,0,"Eval-07 MVVM. 55n/96e, uno 0.566"
2026-08-12,07-caffe-main,2,claude,fable-5,xaml+csharp-mvvm+design-system,SKILL.md v0.4.2 (blind),0.1.0,true,0.3819,,0,3,0,"53n/91e, uno 0.571"
2026-08-12,07-caffe-main,3,claude,fable-5,xaml+csharp-mvvm+design-system,SKILL.md v0.4.2 (blind),0.1.0,true,0.3672,,0,4,0,"56n/96e, uno 0.577"
2026-08-12,07-caffe-main,4,claude,fable-5,xaml+csharp-mvvm+design-system,SKILL.md v0.4.2 (blind),0.1.0,true,0.3722,,0,4,0,"54n/78e, uno 0.577"
2026-08-12,07-caffe-main,5,claude,fable-5,xaml+csharp-mvvm+design-system,SKILL.md v0.4.2 (blind),0.1.0,true,0.3586,,0,4,0,"52n/80e, uno 0.556. Fleet: best pairwise stability ever (mean 0.7303, node-id 0.88-0.99); 5/5 unanimous consensus vs gold on screen slug, state decomposition, trigger attachment, token breadth -> calibration queued"
2026-08-12,05-orbital-settings,13,claude,fable-5,design-only-brief,SKILL.md v0.5 (design-first blind),0.1.0,true,0.1766,,0,7,0,"Design-first run1. 59n/96e. 0 behavioral edges, 0 fabricated identifiers"
2026-08-12,05-orbital-settings,14,claude,fable-5,design-only-brief,SKILL.md v0.5 (design-first blind),0.1.0,true,0.2118,,0,7,0,"Design-first run2. 51n/77e, clean"
2026-08-12,05-orbital-settings,15,claude,fable-5,design-only-brief,SKILL.md v0.5 (design-first blind),0.1.0,true,0.1970,,0,9,0,"Design-first run3. 54n/91e, clean"
2026-08-12,05-orbital-settings,16,claude,fable-5,design-only-brief,SKILL.md v0.5 (design-first blind),0.1.0,true,0.1855,,0,6,0,"Design-first run4. 55n/107e, clean"
2026-08-12,05-orbital-settings,17,claude,fable-5,design-only-brief,SKILL.md v0.5 (design-first blind),0.1.0,true,0.2251,,0,7,0,"Design-first run5. 55n/86e, clean. Fleet: 5/5 honesty perfect; identical structural skeletons (26 contains + 14 instance-of = gold's consolidation); pairwise macro 0.6562; vs-gold gap = information a static mock cannot know"
2026-08-12,05-orbital-settings,arm-A-compile,claude,opus-5,xaml+csharp-arm,ArmHost Uno.Sdk 6.5.31 net10.0-desktop,0.1.0,true,,,0,,1,"Item A. Compiles clean 0 fixes. RUNTIME CRASH: absolute ms-appx:///A-baseline/Tokens.xaml unresolvable when relocated; 1 line fix. Docs URL confirmed WRONG vs real source"
2026-08-12,05-orbital-settings,arm-B-compile,claude,opus-5,xaml+csharp-arm,ArmHost Uno.Sdk 6.5.31 net10.0-desktop,0.1.0,true,,,0,,0,"Item A. Compiles clean 0 fixes, launches clean. Entrance stagger completes. Docs URL + dialog copy match real source exactly"
2026-08-12,05-orbital-settings,arm-C-compile,claude,opus-5,xaml+csharp-arm,ArmHost Uno.Sdk 6.5.31 net10.0-desktop,0.1.0,true,,,0,,0,"Item A. Compiles clean 0 fixes, launches clean. Docs URL matches real source"
2026-08-12,05-orbital-settings,arm-B2-compile,claude,opus-5,xaml+csharp-arm,ArmHost Uno.Sdk 6.5.31 net10.0-desktop,0.1.0,true,,,0,,0,"Item A. Compiles clean 0 fixes, launches clean. Docs URL + LocalApplicationData/Orbital data-folder match real source exactly"
2026-08-12,08-pens-beers,1,claude,opus-5,image-screenshot,SKILL.md v0.5 (image blind),0.1.0,true,0.1128,,0,12,0,"52n/65e. 0 behavioral edges, 0 declared identifiers. Regions modelled."
2026-08-12,08-pens-beers,2,claude,opus-5,image-screenshot,SKILL.md v0.5 (image blind),0.1.0,true,0.0969,,0,12,0,"53n/67e. Honesty clean. Nested uno evidence markers."
2026-08-12,08-pens-beers,3,claude,opus-5,image-screenshot,SKILL.md v0.5 (image blind),0.1.0,true,0.0930,,0,13,0,"54n/79e. Honesty clean. Used variant-of for tile fills (fleet minority)."
2026-08-12,08-pens-beers,4,claude,opus-5,image-screenshot,SKILL.md v0.5 (image blind),0.1.0,true,0.1213,,0,12,0,"47n/60e. Honesty clean. Tabs typed control."
2026-08-12,08-pens-beers,5,claude,opus-5,image-screenshot,SKILL.md v0.5 (image blind),0.1.0,true,0.1420,,0,13,0,"54n/83e. Honesty clean. Fleet: 5/5 honesty perfect; mean vs-gold 0.113 vs mean pairwise 0.287; 5/5 emitted region nodes (calibration signal vs gold-05 zero regions)"
2026-08-12,09-composer-shell,1,claude,opus-5,xaml+csharp-mvux+design-system,SKILL.md v0.5 (blind),0.1.0,true,0.3296,,0,7,0,"92n/140e, 33 tokens. Expanded all control refs incl nested."
2026-08-12,09-composer-shell,2,claude,opus-5,xaml+csharp-mvux+design-system,SKILL.md v0.5 (blind),0.1.0,true,0.2671,,0,7,0,"92n/170e, 30 tokens. Used -item naming (vocabulary rule)."
2026-08-12,09-composer-shell,3,claude,opus-5,xaml+csharp-mvux+design-system,SKILL.md v0.5 (blind),0.1.0,true,0.3206,,0,7,0,"85n/146e, 24 tokens - matches gold token count exactly."
2026-08-12,09-composer-shell,4,claude,opus-5,xaml+csharp-mvux+design-system,SKILL.md v0.5 (blind),0.1.0,true,0.3300,,0,7,0,"94n/176e, 30 tokens. 10 triggers, all real code paths."
2026-08-12,09-composer-shell,5,claude,opus-5,xaml+csharp-mvux+design-system,SKILL.md v0.5 (blind),0.1.0,true,0.2878,,0,8,0,"80n/123e, 28 tokens. Fleet: mean vs-gold 0.307, pairwise 0.525. Token scoping held 5/5 under largest dictionary set. Halluc proxy fired 5/5 - all verified real (3rd occurrence of proxy defect). Ontology gap: multi-effect action target undefined"
